"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2", "Image 3", "Image 4", "Image 5", "Image 6", "Image 7", "Image 8", "Image 9", "Image 10", "Image 11", "Image 12", "Image 13", "Image 14", "Image 15", "Image 16", "Image 17", "Image 18", "Image 19" 
"o:vase.1096"," Jovanović, Milan "," Studio portrait of Jovica ","Photograph","Boudoir","Creative Commons [CC BY-NC-ND 3.0]"," "," 1905 "," 1910 "," 290; 551; 550; 850; 890 ","  "," 2 "," vase.1096-IMAGE.1.jpg "," vase.1096-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1097"," Jovanović, Milan "," Studio portrait of a young officer ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," 1893 "," "," "," 292; 290; 700; 714; 710 ","  "," 2 "," vase.1097-IMAGE.1.jpg "," vase.1097-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1098"," Jovanović, Milan "," Studio portrait of Radojka and Danilo A. Živaljević ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1887 "," 1890 "," 214; 210; 290; 540; 551; 550; 554; 560; 580; 890 ","  "," 2 "," vase.1098-IMAGE.1.jpg "," vase.1098-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1099"," Jovanović, Milan "," Studio portrait of Sava and Danica ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," 1896 "," "," "," 186; 180; 290; 300; 431; 430; 551; 550; 576; 570; 580; 590; 606; 600; 607; 788; 780; 890 ","  "," 2 "," vase.1099-IMAGE.1.jpg "," vase.1099-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.11"," Karastoyanov, Dimitar Anastasov "," Studio portrait of a Lieutenant ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," "," 1892 "," 1900 "," 497; 490; 560; 700; 714; 710 ","  "," 2 "," vase.11-IMAGE.1.jpg "," vase.11-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.110"," Karastoyanov, Bozhidar Dimitrov "," Military manoeuvre ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1940 "," 1941 "," 700; 710; 720 ","  "," 2 "," vase.110-IMAGE.1.jpg "," vase.110-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1100"," Jovanović, Milan "," Studio portrait of a middle-aged man with a white moustache ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1887 "," 1890 "," 290; 561; 560; 888; 880 ","  "," 2 "," vase.1100-IMAGE.1.jpg "," vase.1100-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1101"," Jovanović, Milan "," Studio portrait of Milenko Milenković ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1901 "," 1903 "," 292; 290; 551; 550; 850 ","  "," 2 "," vase.1101-IMAGE.1.jpg "," vase.1101-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1102"," Jovanović, Milan "," Studio portrait of a young woman in a dark dress ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1896 "," 1903 "," 290; 300; 562; 560 ","  "," 2 "," vase.1102-IMAGE.1.jpg "," vase.1102-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1103"," Jovanović, Milan "," Studio portrait of a man and a baby ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1896 "," 1903 "," 290; 300; 594; 590; 850; 890 ","  "," 2 "," vase.1103-IMAGE.1.jpg "," vase.1103-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
